source_row,note,time_s,reference_vr_m_s,calculated_vr_m_s,error_vr_m_s,reference_vn_m_s,calculated_vn_m_s,error_vn_m_s,reference_height_km,calculated_height_km,error_height_km,reference_range_km,calculated_range_km,error_range_km,reference_beta_deg,calculated_beta_deg,error_beta_deg,reference_mass_kg,calculated_mass_kg,error_mass_kg
1,,0.0,0.0,0.0,0.0,1623.432,1623.4315203356111,-0.0004796643888766994,122.7403,122.74029999999999,-1.4210854715202004e-14,0.0,5.474908733728867e-35,5.474908733728867e-35,0.0,1.8053740865595295e-36,1.8053740865595295e-36,10000.0,10000.0,0.0
2,,5.311743,-3.4913,-2.9950600825694846,0.4962399174305152,1610.85,1613.1982680279657,2.348268027965787,122.7311,122.71459108729478,-0.016508912705219814,8.02,7.970871586906655,-0.049128413093344925,0.264565,0.2628428291715805,-0.001722170828419467,9958.502,9966.278899843563,7.776899843562205
3,end_of_first_powered_arc,14.23074,-9.64111,-8.024093281513219,1.6170167184867807,1589.64,1596.0155190447917,6.375519044791645,122.6728,122.67142301321984,-0.0013769867801585178,21.35,21.354836091779294,0.004836091779292673,0.704167,0.7041846645828268,1.7664582826815156e-05,9888.822,9909.657487412283,20.835487412283328
4,start_of_passive_arc_duplicate,14.23074,-9.64111,-8.024093281513219,1.6170167184867807,1589.64,1596.0155190447917,6.375519044791645,122.6728,122.67142301321984,-0.0013769867801585178,21.35,21.354836091779294,0.004836091779292673,0.704167,0.7041846645828268,1.7664582826815156e-05,9888.822,9909.657487412283,20.835487412283328
5,,20.5771,-10.0117,-10.046765270441545,-0.03506527044154595,1589.693,1589.7442414419997,0.05124144199976399,122.6104,122.62366728054162,0.013267280541626292,30.78,30.830339741432347,0.050339741432345875,1.014909,1.0166433662374332,0.0017343662374331714,9888.822,9888.902889695153,0.08088969515301869
6,,55.83867,-12.0658,-12.098120524154766,-0.03232052415476616,1590.026,1590.0754464863596,0.04944648635955673,122.2212,122.2331246454381,0.011924645438099901,83.15,83.20251645870236,0.05251645870235677,2.74186,2.7436378295346917,0.0017778295346917439,9888.822,9888.902792093295,0.08079209329480364
7,,153.8623,-17.7177,-17.743311767585137,-0.02561176758513639,1591.275,1591.3203328345435,0.045332834543387435,120.7606,120.76967370923663,0.009073709236631089,228.87,228.93037828953686,0.060378289536856755,7.547181,7.549075111407476,0.0018941114074761956,9888.822,9888.902520869247,0.08052086924726609
8,,251.3127,-23.2234,-23.243016946724165,-0.019616946724163142,1592.986,1593.0264219366534,0.040421936653274315,118.7647,118.77098131550574,0.0062813155057313,374.02,374.0761235924518,0.05612359245179732,12.3333,12.33531685695306,0.0020168569530607527,9888.822,9888.902251370084,0.0802513700837153
9,,347.3829,-28.5052,-28.520397139588116,-0.015197139588117636,1595.123,1595.1562329838941,0.033232983894095014,116.2786,116.28409800118412,0.005498001184122359,517.45,517.5110821348459,0.061082134845833025,17.06306,17.06514469250877,0.0020846925087703028,9888.822,9888.901985814373,0.07998581437277608
10,,442.0984,-33.5371,-33.548330563690605,-0.011230563690602935,1597.656,1597.6841838304076,0.02818383040767003,113.3389,113.34262573898638,0.003725738986389615,659.27,659.339122390166,0.06912239016605781,21.7398,21.74198372449175,0.002183724491750638,9888.822,9888.90172411774,0.07972411774062493
11,,535.4696,-38.2949,-38.30315925836271,-0.00825925836271324,1600.558,1600.5797281302223,0.021728130222300024,109.9837,109.98614723060942,0.0024472306094196483,799.56,799.6304702227372,0.07047022273729908,26.36589,26.368149680192165,0.0022596801921643817,9888.822,9888.901466236422,0.07946623642237682
12,,627.5006,-42.757,-42.76390091923087,-0.00690091923087266,1603.797,1603.8118390297745,0.014839029774520895,106.2522,106.25484135613632,0.00264135613632277,938.37,938.4379101337938,0.06791013379381639,30.94311,30.94538315064696,0.0022731506469604312,9888.822,9888.901212144214,0.0792121442136704
13,,718.2001,-46.9047,-46.91112767576062,-0.006427675760619422,1607.343,1607.351366786185,0.008366786184978992,102.1841,102.18671899717111,0.002618997171111914,1075.75,1075.8171100203447,0.06711002034467128,35.47325,35.475519808076456,0.002269808076455604,9888.822,9888.900961802792,0.0789618027920369
14,,807.5914,-50.7227,-50.728637901199704,-0.005937901199700946,1611.167,1611.1688226742808,0.0018226742809019925,97.81849,97.81998489394562,0.0014948939456189692,1211.77,1211.838945217779,0.06894521777894624,39.95859,39.9608967963512,0.002306796351199125,9888.822,9888.900715133495,0.07871513349527959
15,,895.715,-54.1989,-54.20532489447192,-0.006424894471919629,1615.237,1615.233194653128,-0.003805346872013615,93.19326,93.19407805035618,0.0008180503561874275,1346.52,1346.5895583627878,0.06955836278780225,44.40204,44.40435470499686,0.0023147049968628153,9888.822,9888.900472010137,0.07847201013646554
16,,982.6278,-57.3234,-57.3315385776181,-0.008138577618097997,1619.526,1619.516203447767,-0.009796552232955946,88.34464,88.3449474764134,0.00030747641339701204,1480.11,1480.177601188511,0.06760118851116204,48.80719,48.809476370422395,0.002286370422396544,9888.822,9888.90023226209,0.07823226209075074
17,,1068.402,-60.0891,-60.099996908242694,-0.010896908242692405,1624.007,1623.9907322166257,-0.01626778337436008,83.3068,83.30670812900675,-9.187099324492465e-05,1612.66,1612.7304452592025,0.0704452592024154,53.17826,53.18046192330857,0.0022019233085686096,9888.822,9888.899995677102,0.07799567710208066
18,,1153.122,-62.4902,-62.50369707957641,-0.013497079576410442,1628.654,1628.6318310671058,-0.022168932894146565,78.11196,78.11062249291327,-0.0013375070867311933,1744.33,1744.3939531405033,0.0639531405033722,57.51994,57.522121242851824,0.0021812428518259708,9888.822,9888.899762009942,0.07776200994157989
19,,1236.907,-64.5229,-64.53895981927452,-0.01605981927451694,1633.443,1633.4160455236558,-0.026954476344144496,72.7886,72.78560210613931,-0.0029978938606944894,1875.3,1875.3623072391813,0.06230723918133663,61.83869,61.84085757524848,0.002167575248478215,9888.822,9888.899530920024,0.07753092002349149
20,,1320.049,-66.1865,-66.20654656703195,-0.02004656703195451,1638.363,1638.3308740707023,-0.03212592929776292,67.35241,67.3478093386332,-0.004600661366808367,2006.03,2006.0988808800605,0.06888088006053295,66.14982,66.15195084996815,0.0021308499681396142,9888.822,9888.899301590965,0.07730159096536227
21,,1402.639,-67.4749,-67.5008067787829,-0.025906778782896822,1643.391,1643.3538425977206,-0.03715740227949027,61.83031,61.824105027854316,-0.006204972145681609,2136.7,2136.7558800689662,0.05588006896641673,70.45844,70.46042012380428,0.0019801238042873592,9888.822,9888.899073761448,0.07707376144753653
