source_row,time_s,vr_m_s,vn_m_s,height_km,range_km,beta_deg,mass_kg,pitch_deg,note
1,0.00E+00,0.00E+00,1623.432,122.7403,0.00,0.00E+00,10000,-164.743,
2,5.311743,-3.4913,1610.85,122.7311,8.02,0.264565,9958.502,-164.752,
3,14.23074,-9.64111,1589.64,122.6728,21.35,0.704167,9888.822,-164.773,end_of_first_powered_arc
4,14.23074,-9.64111,1589.64,122.6728,21.35,0.704167,9888.822,-164.773,start_of_passive_arc_duplicate
5,20.5771,-10.0117,1589.693,122.6104,30.78,1.014909,9888.822,-164.79,
6,55.83867,-12.0658,1590.026,122.2212,83.15,2.74186,9888.822,-164.901,
7,153.8623,-17.7177,1591.275,120.7606,228.87,7.547181,9888.822,-165.324,
8,251.3127,-23.2234,1592.986,118.7647,374.02,12.3333,9888.822,-165.927,
9,347.3829,-28.5052,1595.123,116.2786,517.45,17.06306,9888.822,-166.718,
10,442.0984,-33.5371,1597.656,113.3389,659.27,21.7398,9888.822,-167.704,
11,535.4696,-38.2949,1600.558,109.9837,799.56,26.36589,9888.822,-168.886,
12,627.5006,-42.757,1603.797,106.2522,938.37,30.94311,9888.822,-170.259,
13,718.2001,-46.9047,1607.343,102.1841,1075.75,35.47325,9888.822,-171.81,
14,807.5914,-50.7227,1611.167,97.81849,1211.77,39.95859,9888.822,-173.518,
15,895.715,-54.1989,1615.237,93.19326,1346.52,44.40204,9888.822,-175.354,
16,982.6278,-57.3234,1619.526,88.34464,1480.11,48.80719,9888.822,-177.28,
17,1068.402,-60.0891,1624.007,83.3068,1612.66,53.17826,9888.822,-179.254,
18,1153.122,-62.4902,1628.654,78.11196,1744.33,57.51994,9888.822,178.7673,
19,1236.907,-64.5229,1633.443,72.7886,1875.30,61.83869,9888.822,176.8275,
20,1320.049,-66.1865,1638.363,67.35241,2006.03,66.14982,9888.822,174.9628,
21,1402.639,-67.4749,1643.391,61.83031,2136.70,70.45844,9888.822,173.2091,
22,1484.753,-68.3822,1648.503,56.24988,2267.41,74.76871,9888.822,171.5958,
23,1566.446,-68.903,1653.675,50.6396,2398.27,79.0838,9888.822,170.1449,
24,1647.758,-69.0331,1658.88,45.02904,2529.33,83.40577,9888.822,168.8708,
25,1728.702,-68.7698,1664.089,39.44923,2660.63,87.73529,9888.822,167.7805,
26,1809.266,-68.1127,1669.272,33.93262,2792.13,92.07154,9888.822,166.8751,
27,1889.417,-67.0643,1674.394,28.51273,2923.76,96.41222,9888.822,166.15,
28,1969.095,-65.631,1679.424,23.2237,3055.41,100.7536,9888.822,165.5968,
29,2048.225,-63.823,1684.326,18.09933,3186.94,105.0907,9888.822,165.204,
30,2126.722,-61.6549,1689.066,13.17205,3318.16,109.4178,9888.822,164.9581,
31,2204.503,-59.1452,1693.613,8.471783,3448.90,113.729,9888.822,164.8443,
32,2245.256,-57.6895,1695.926,6.090757,3517.68,115.9971,9888.822,164.8325,end_of_passive_arc
33,2245.256,-57.6895,1695.926,6.090757,3517.68,115.9971,9888.822,164.8325,start_of_second_powered_arc_duplicate
34,2250.67,-54.0381,1683.238,5.788391,3526.80,116.2977,9846.529,164.8322,
35,2280.1,-36.2483,1612.928,4.468272,3575.17,117.8926,9616.604,164.7983,
36,2309.244,-21.9561,1541.142,3.627958,3621.03,119.4049,9388.917,164.7096,
37,2336.935,-11.2875,1470.995,3.174048,3662.65,120.7775,9172.587,164.5714,
38,2363.402,-3.58312,1402.211,2.982448,3700.61,122.0293,8965.812,164.3878,
39,2388.95,1.702024,1334.22,2.962743,3735.51,123.1801,8766.216,164.1606,
40,2413.81,4.977176,1266.56,3.04941,3767.79,124.2444,8571.995,163.8903,
41,2438.155,6.564356,1198.863,3.192977,3797.75,125.2323,8381.8,163.5768,
42,2462.095,6.732155,1130.89,3.354713,3825.58,126.1503,8194.772,163.2196,
43,2485.701,5.721613,1062.481,3.503819,3851.42,127.0023,8010.353,162.8182,
44,2509.019,3.760375,993.5246,3.616048,3875.35,127.7913,7828.175,162.372,
45,2532.077,1.071267,923.9595,3.672994,3897.41,128.5188,7648.033,161.8806,
46,2554.887,-2.12266,853.7587,3.661815,3917.65,129.186,7469.836,161.3436,
47,2577.448,-5.59586,782.9228,3.575129,3936.07,129.7937,7293.576,160.761,
48,2599.756,-9.11966,711.4736,3.410951,3952.71,130.3423,7119.298,160.133,
49,2621.791,-12.4617,639.4763,3.172708,3967.57,130.8323,6947.148,159.4603,
50,2643.529,-15.3887,567.0205,2.869107,3980.66,131.264,6777.316,158.7439,
51,2664.944,-17.6699,494.2156,2.513849,3992.01,131.6382,6610.015,157.9854,
52,2686.006,-19.0804,421.1862,2.12516,4001.64,131.9558,6445.47,157.1868,
53,2706.687,-19.4053,348.0655,1.725156,4009.59,132.2179,6283.898,156.3501,
54,2726.963,-18.4432,274.9888,1.339077,4015.90,132.4261,6125.492,155.478,
55,2746.813,-16.0082,202.0897,0.994479,4020.64,132.5822,5970.414,154.573,
56,2766.221,-11.9323,129.4926,0.720404,4023.85,132.6883,5818.784,153.638,
57,2785.179,-6.06502,57.30953,0.546647,4025.63,132.7467,5670.675,152.6757,
58,2800.000,-1.95E-007,-1.82E-09,0.5,4026.05,132.7608,5554.888,151.8888,
